Strain,Strains alive with 0.5 POS,Time,Name
y003,0,24,Madison
y054,8,24,Madison
y106,0,24,Madison
y109,0,24,Madison
y110,0,24,Madison
y116,0,24,Madison
y119,5,24,Madison
y126,5,24,Madison
y003,11,72,Madison
y054,12,72,Madison
y106,6,72,Madison
y109,8,72,Madison
y110,9,72,Madison
y116,8,72,Madison
y119,12,72,Madison
y126,11,72,Madison
y003,1,24,Quinn
y026,0,24,Quinn
y048,9,24,Quinn
y074,0,24,Quinn
y076,9,24,Quinn
y079,0,24,Quinn
y106,0,24,Quinn
y109,2,24,Quinn
y003,10,72,Quinn
y026,4,72,Quinn
y048,10,72,Quinn
y074,2,72,Quinn
y076,12,72,Quinn
y079,8,72,Quinn
y106,2,72,Quinn
y109,7,72,Quinn
