Strain,Replicate,TechRep,Drug,LevelEvolvedTo,Time,OD_24h,OD_48h,OD_72h,Person,,,,,,,,
y106,1,A,8,,t0,0.2485,0.3212,0.2935,M,,,,,,,,
y106,2,A,4,,t0,0.2444,0.2635,0.2514,M,,,,,,,,
y106,3,A,2,,t0,0.2046,0.2316,0.2162,M,,,,,,,,
y106,4,A,1,,t0,0.2266,0.2683,0.2474,M,,,,,,,,
y106,5,A,0.5,,t0,0.2565,0.3206,0.3071,M,,,,,,,,
y106,6,A,0.25,,t0,0.2574,0.2904,0.2846,M,,,,,,,,
y106,7,A,0.125,,t0,0.281,0.3117,0.308,M,,,,,,,,
y106,8,A,0.63,,t0,0.2621,0.3086,0.311,M,,,,,,,,
y106,9,A,0.31,,t0,0.264,0.3206,0.3269,M,,,,,,,,
y106,10,A,0.016,,t0,0.2602,0.3088,0.3054,M,,,,,,,,
y106,11,A,0,,t0,1.2741,1.3251,1.3121,M,,,,,,,,
blank,12,A,0,,blank,0.1253,0.1462,0.1356,M,,,,,,,,
y106,1,A mixed,8,,t0,,,0.2912,M,,,,,,,,
y106,2,A mixed,4,,t0,,,0.265,M,,,,,,,,
y106,3,A mixed,2,,t0,,,0.2277,M,,,,,,,,
y106,4,A mixed,1,,t0,,,0.2058,M,,,,,,,,
y106,5,A mixed,0.5,,t0,,,0.2325,M,,,,,,,,
y106,6,A mixed,0.25,,t0,,,0.2743,M,,,,,,,,
y106,7,A mixed,0.125,,t0,,,0.2926,M,,,,,,,,
y106,8,A mixed,0.63,,t0,,,0.2897,M,,,,,,,,
y106,9,A mixed,0.31,,t0,,,0.2725,M,,,,,,,,
y106,10,A mixed,0.016,,t0,,,0.3124,M,,,,,,,,
y106,11,A mixed,0,,t0,,,1.3132,M,,,,,,,,
blank,12,A mixed,0,,blank,,,0.094,M,,,,,,,,
y106,1,B,8,,t0,0.2921,0.3202,0.2975,M,,,,,,,,
y106,2,B,4,,t0,0.2575,0.2759,0.2599,M,,,,,,,,
y106,3,B,2,,t0,0.4024,0.4607,0.2786,M,,,,,,,,
y106,4,B,1,,t0,0.4777,0.54,0.5471,M,,,,,,,,
y106,5,B,0.5,,t0,0.4854,0.5784,0.5588,M,,,,,,,,
y106,6,B,0.25,,t0,0.5492,0.5275,0.6269,M,,,,,,,,
y106,7,B,0.125,,t0,0.5614,0.6125,0.727,M,,,,,,,,
y106,8,B,0.63,,t0,0.564,0.5679,0.6047,M,,,,,,,,
y106,9,B,0.31,,t0,0.549,0.6036,0.6145,M,,,,,,,,
y106,10,B,0.016,,t0,0.3256,0.384,0.4276,M,,,,,,,,
y106,11,B,0,,t0,1.2588,1.2907,1.3072,M,,,,,,,,
blank,12,B,0,,blank,0.1421,0.1696,0.1603,M,,,,,,,,
y106,1,B mixed,8,,t0,,,0.2323,M,,,,,,,,
y106,2,B mixed,4,,t0,,,0.2341,M,,,,,,,,
y106,3,B mixed,2,,t0,,,0.2177,M,,,,,,,,
y106,4,B mixed,1,,t0,,,0.2107,M,,,,,,,,
y106,5,B mixed,0.5,,t0,,,0.243,M,,,,,,,,
y106,6,B mixed,0.25,,t0,,,0.2683,M,,,,,,,,
y106,7,B mixed,0.125,,t0,,,0.2601,M,,,,,,,,
y106,8,B mixed,0.63,,t0,,,0.2547,M,,,,,,,,
y106,9,B mixed,0.31,,t0,,,0.2377,M,,,,,,,,
y106,10,B mixed,0.016,,t0,,,0.2715,M,,,,,,,,
y106,11,B mixed,0,,t0,,,1.0624,M,,,,,,,,
blank,12,B mixed,0,,blank,,,0.0944,M,,,,,,,,
y106,1,A,0,,t0,1.1223,1.1451,1.104,Q,,,,,,,,
y106,2,A,0,,t0,1.1505,1.1773,1.1208,Q,,,,,,,,
y106,3,A,0,,t0,1.1325,1.1574,1.0987,Q,,,,,,,,
y106,4,A,0,,t0,1.1385,1.1553,1.0995,Q,,,,,,,,
y106,5,A,0,,t0,1.1323,1.1509,1.0976,Q,,,,,,,,
y106,6,A,0,,t0,1.1268,1.1433,1.0886,Q,,,,,,,,
y106,7,A,0,,t0,1.1219,1.1415,1.089,Q,,,,,,,,
y106,8,A,0,,t0,1.1124,1.135,1.0883,Q,,,,,,,,
y106,9,A,0,,t0,1.1145,1.1366,1.0901,Q,,,,,,,,
y106,10,A,0,,t0,0.9593,1.0966,1.0642,Q,,,,,,,,
y106,11,A,0,,t0,1.0491,1.1842,1.1468,Q,,,,,,,,
y106,12,A,0,,t0,0.842,1.1435,1.1057,Q,,,,,,,,
y106,1,B,0,,t0,1.1009,1.2219,1.1551,Q,,,,,,,,
y106,2,B,0,,t0,1.1319,1.1962,1.1413,Q,,,,,,,,
y106,3,B,0,,t0,1.1278,1.2193,1.1492,Q,,,,,,,,
y106,4,B,0,,t0,1.1232,1.2097,1.1551,Q,,,,,,,,
y106,5,B,0,,t0,1.1123,1.1923,1.1247,Q,,,,,,,,
y106,6,B,0,,t0,1.1377,1.1992,1.1268,Q,,,,,,,,
y106,7,B,0,,t0,1.104,1.1761,1.1058,Q,,,,,,,,
y106,8,B,0,,t0,1.1106,1.1764,1.1088,Q,,,,,,,,
y106,9,B,0,,t0,1.1257,1.1885,1.1154,Q,,,,,,,,
y106,10,B,0,,t0,1.1174,1.1951,1.12,Q,,,,,,,,
y106,11,B,0,,t0,1.1015,1.2141,1.1392,Q,,,,,,,,
y106,12,B,0,,t0,1.0313,1.1896,1.1218,Q,,,,,,,,
y106,1,A,0.03,,t0,0.1055,0.1183,0.063,Q,,,,,,,,
y106,2,A,0.03,,t0,0.116,0.1249,0.0722,Q,,,,,,,,
y106,3,A,0.03,,t0,0.1101,0.1268,0.0749,Q,,,,,,,,
y106,4,A,0.03,,t0,0.1146,0.1213,0.0816,Q,,,,,,,,
y106,5,A,0.03,,t0,0.1119,0.1166,0.0604,Q,,,,,,,,
y106,6,A,0.03,,t0,0.1131,0.1368,0.1471,Q,,,,,,,,
y106,7,A,0.03,,t0,0.1116,0.1187,0.0828,Q,,,,,,,,
y106,8,A,0.03,,t0,0.1111,0.142,0.2035,Q,,,,,,,,
y106,9,A,0.03,,t0,0.1125,0.1251,0.145,Q,,,,,,,,
y106,10,A,0.03,,t0,0.109,0.1129,0.0602,Q,,,,,,,,
y106,11,A,0.03,,t0,0.1059,0.1108,0.0555,Q,,,,,,,,
y106,12,A,0.03,,t0,0.105,0.1122,0.0555,Q,,,,,,,,
y106,1,B,0.03,,t0,0.1069,0.1023,0.0595,Q,,,,,,,,
y106,2,B,0.03,,t0,0.1246,0.1356,0.0952,Q,,,,,,,,
y106,3,B,0.03,,t0,0.109,0.1507,0.078,Q,,,,,,,,
y106,4,B,0.03,,t0,0.1094,0.1504,0.0789,Q,,,,,,,,
y106,5,B,0.03,,t0,0.1127,0.1428,0.0943,Q,,,,,,,,
y106,6,B,0.03,,t0,0.1088,0.1404,0.0812,Q,,,,,,,,
y106,7,B,0.03,,t0,0.1138,0.1338,0.0637,Q,,,,,,,,
y106,8,B,0.03,,t0,0.1097,0.1879,0.2614,Q,,,,,,,,
y106,9,B,0.03,,t0,0.1076,0.1984,0.1004,Q,,,,,,,,
y106,10,B,0.03,,t0,0.1049,0.1278,0.0564,Q,,,,,,,,
y106,11,B,0.03,,t0,0.103,0.1224,0.0564,Q,,,,,,,,
y106,12,B,0.03,,t0,0.1017,0.1218,0.0552,Q,,,,,,,,
y106,1,A,0.12,,t0,0.1083,0.1233,0.1218,Q,,,,,,,,
y106,2,A,0.12,,t0,0.1111,0.1351,0.075,Q,,,,,,,,
y106,3,A,0.12,,t0,0.1166,0.1377,0.0662,Q,,,,,,,,
y106,4,A,0.12,,t0,0.1069,0.1345,0.0616,Q,,,,,,,,
y106,5,A,0.12,,t0,0.1097,0.1327,0.0833,Q,,,,,,,,
y106,6,A,0.12,,t0,0.108,0.1362,0.1156,Q,,,,,,,,
y106,7,A,0.12,,t0,0.108,0.1311,0.0967,Q,,,,,,,,
y106,8,A,0.12,,t0,0.1094,0.1268,0.0691,Q,,,,,,,,
y106,9,A,0.12,,t0,0.1142,0.1274,0.0906,Q,,,,,,,,
y106,10,A,0.12,,t0,0.107,0.119,0.0793,Q,,,,,,,,
y106,11,A,0.12,,t0,0.1012,0.1142,0.0552,Q,,,,,,,,
y106,12,A,0.12,,t0,0.104,0.1122,0.0549,Q,,,,,,,,
y106,1,B,0.12,,t0,0.1019,0.1081,0.0631,Q,,,,,,,,
y106,2,B,0.12,,t0,0.1123,0.1778,0.2237,Q,,,,,,,,
y106,3,B,0.12,,t0,0.1055,0.126,0.0963,Q,,,,,,,,
y106,4,B,0.12,,t0,0.1073,0.1237,0.1081,Q,,,,,,,,
y106,5,B,0.12,,t0,0.1105,0.1271,0.1016,Q,,,,,,,,
y106,6,B,0.12,,t0,0.1076,0.1596,0.1542,Q,,,,,,,,
y106,7,B,0.12,,t0,0.1093,0.1176,0.0895,Q,,,,,,,,
y106,8,B,0.12,,t0,0.1155,0.1189,0.1162,Q,,,,,,,,
y106,9,B,0.12,,t0,0.1127,0.1243,0.1322,Q,,,,,,,,
y106,10,B,0.12,,t0,0.1047,0.1085,0.0555,Q,,,,,,,,
y106,11,B,0.12,,t0,0.1051,0.1093,0.066,Q,,,,,,,,
y106,12,B,0.12,,t0,0.1031,0.105,0.0549,Q,,,,,,,,
y106,1,A,0.5,,t0,-0.3065,0.1689,0.221,Q,,,,,,,,
y106,2,A,0.5,,t0,-0.2982,0.1361,0.0724,Q,,,,,,,,
y106,3,A,0.5,,t0,-0.3005,0.1511,0.1638,Q,,,,,,,,
y106,4,A,0.5,,t0,-0.3038,0.1303,0.143,Q,,,,,,,,
y106,5,A,0.5,,t0,-0.2992,0.1411,0.102,Q,,,,,,,,
y106,6,A,0.5,,t0,-0.3001,0.152,0.1146,Q,,,,,,,,
y106,7,A,0.5,,t0,-0.3033,0.1172,0.0622,Q,,,,,,,,
y106,8,A,0.5,,t0,-0.3011,0.1367,0.1522,Q,,,,,,,,
y106,9,A,0.5,,t0,-0.3032,0.1447,0.0941,Q,,,,,,,,
y106,10,A,0.5,,t0,-0.3072,0.1236,0.075,Q,,,,,,,,
y106,11,A,0.5,,t0,-0.3073,0.1211,0.0559,Q,,,,,,,,
y106,12,A,0.5,,t0,-0.3091,0.1092,0.0553,Q,,,,,,,,
y106,1,B,0.5,,t0,0.1019,0.1084,0.06,Q,,,,,,,,
y106,2,B,0.5,,t0,0.1104,0.1145,0.069,Q,,,,,,,,
y106,3,B,0.5,,t0,0.1092,0.116,0.0594,Q,,,,,,,,
y106,4,B,0.5,,t0,0.1109,0.1262,0.0809,Q,,,,,,,,
y106,5,B,0.5,,t0,0.1153,0.1567,0.1371,Q,,,,,,,,
y106,6,B,0.5,,t0,0.1148,0.1286,0.0966,Q,,,,,,,,
y106,7,B,0.5,,t0,0.1101,0.1349,0.1706,Q,,,,,,,,
y106,8,B,0.5,,t0,0.117,0.1356,0.1464,Q,,,,,,,,
y106,9,B,0.5,,t0,0.1187,0.1439,0.1342,Q,,,,,,,,
y106,10,B,0.5,,t0,0.1038,0.1075,0.0565,Q,,,,,,,,
y106,11,B,0.5,,t0,0.1021,0.1084,0.0554,Q,,,,,,,,
y106,12,B,0.5,,t0,0.1018,0.1115,0.0548,Q,,,,,,,,
y106,1,A,2,,t0,0.1162,0.1401,0.1676,Q,,,,,,,,
y106,2,A,2,,t0,0.1177,0.2024,0.236,Q,,,,,,,,
y106,3,A,2,,t0,0.1229,0.2068,0.2845,Q,,,,,,,,
y106,4,A,2,,t0,0.1028,0.1192,0.096,Q,,,,,,,,
y106,5,A,2,,t0,0.1125,0.1364,0.1085,Q,,,,,,,,
y106,6,A,2,,t0,0.1034,0.1259,0.1101,Q,,,,,,,,
y106,7,A,2,,t0,0.1054,0.1165,0.0761,Q,,,,,,,,
y106,8,A,2,,t0,0.1119,0.1374,0.1968,Q,,,,,,,,
y106,9,A,2,,t0,0.1072,0.1326,0.1163,Q,,,,,,,,
y106,10,A,2,,t0,0.1021,0.1062,0.0567,Q,,,,,,,,
y106,11,A,2,,t0,0.1059,0.1107,0.0742,Q,,,,,,,,
y106,12,A,2,,t0,0.1049,0.1046,0.0555,Q,,,,,,,,
y106,1,B,2,,t0,0.0976,0.1002,0.1026,Q,,,,,,,,
y106,2,B,2,,t0,0.1004,0.1293,0.1881,Q,,,,,,,,
y106,3,B,2,,t0,0.0979,0.1055,0.1038,Q,,,,,,,,
y106,4,B,2,,t0,0.0988,0.1141,0.0922,Q,,,,,,,,
y106,5,B,2,,t0,0.1037,0.1139,0.1324,Q,,,,,,,,
y106,6,B,2,,t0,0.112,0.1579,0.3583,Q,,,,,,,,
y106,7,B,2,,t0,0.0991,0.1543,0.1728,Q,,,,,,,,
y106,8,B,2,,t0,0.1144,0.1508,0.2021,Q,,,,,,,,
y106,9,B,2,,t0,0.1118,0.1478,0.1488,Q,,,,,,,,
y106,10,B,2,,t0,0.0992,0.1066,0.0699,Q,,,,,,,,
y106,11,B,2,,t0,0.0985,0.1037,0.0573,Q,,,,,,,,
y106,12,B,2,,t0,0.098,0.1009,0.0536,Q,,,,,,,,
y106,1,A,0,0.5,t5,0.1455,0.1355,0.1354,M,,,,,,,,
y106,2,A,0,0.5,t5,0.1537,0.1347,0.133,M,,,,,,,,
y106,3,A,0,0.5,t5,0.1697,0.1386,0.1407,M,,,,,,,,
y106,4,A,0,0.5,t5,0.1572,0.1397,0.1349,M,,,,,,,,
y106,5,A,0,0.5,t5,0.1644,0.1426,0.1382,M,,,,,,,,
y106,6,A,0,0.5,t5,0.156,0.1374,0.1336,M,,,,,,,,
y106,7,A,0,0.5,t5,0.1221,0.1373,0.1346,M,,,,,,,,
y106,8,A,0,0.5,t5,0.1362,0.1377,0.1349,M,,,,,,,,
y106,9,A,0,0.5,t5,0.1252,0.1464,0.1431,M,,,,,,,,
y106,10,A,0,0.5,t5,0.1278,0.1419,0.1391,M,,,,,,,,
y106,11,A,0,0.5,t5,1.2767,1.2874,1.2878,M,,,,,,,,
y106,12,A,0,0.5,t5,0.152,0.1314,0.131,M,,,,,,,,
y106,1,A mixed,0,0.5,t5,,,0.0989,M,,,,,,,,
y106,2,A mixed,0,0.5,t5,,,0.0987,M,,,,,,,,
y106,3,A mixed,0,0.5,t5,,,0.1026,M,,,,,,,,
y106,4,A mixed,0,0.5,t5,,,0.0979,M,,,,,,,,
y106,5,A mixed,0,0.5,t5,,,0.0973,M,,,,,,,,
y106,6,A mixed,0,0.5,t5,,,0.1003,M,,,,,,,,
y106,7,A mixed,0,0.5,t5,,,0.0978,M,,,,,,,,
