Strain,Replicate,BioRep,TechRep,Treatment,OD,Person
y119,1,1,A,0,1.2113,M
y054,1,1,A,0,0.9546,M
y003,1,1,A,0,1.333,M
y126,1,1,A,0,1.4194,M
y119,1,1,B,0,1.1372,M
y054,1,1,B,0,0.8722,M
y003,1,1,B,0,1.256,M
y126,1,1,B,0,1.3807,M
y119,2,1,A,0,1.1954,M
y054,2,1,A,0,1.23,M
y003,2,1,A,0,1.432,M
y126,2,1,A,0,1.403,M
y119,2,1,B,0,1.106,M
y054,2,1,B,0,1.2127,M
y003,2,1,B,0,1.4116,M
y126,2,1,B,0,1.3756,M
y119,3,1,A,0,1.4184,M
y054,3,1,A,0,1.2349,M
y003,3,1,A,0,1.4575,M
y126,3,1,A,0,1.4055,M
y119,3,1,B,0,1.3993,M
y054,3,1,B,0,1.2248,M
y003,3,1,B,0,1.4188,M
y126,3,1,B,0,1.3904,M
y119,4,1,A,0,1.4301,M
y054,4,1,A,0,1.2954,M
y003,4,1,A,0,1.4491,M
y126,4,1,A,0,1.4037,M
y119,4,1,B,0,1.4037,M
y054,4,1,B,0,1.2645,M
y003,4,1,B,0,1.4352,M
y126,4,1,B,0,1.4029,M
y119,5,1,A,0,1.4323,M
y054,5,1,A,0,1.258,M
y003,5,1,A,0,1.429,M
y126,5,1,A,0,1.41,M
y119,5,1,B,0,1.4322,M
y054,5,1,B,0,1.207,M
y003,5,1,B,0,1.4253,M
y126,5,1,B,0,1.3952,M
y119,6,1,A,0,1.4303,M
y054,6,1,A,0,1.2648,M
y003,6,1,A,0,1.4353,M
y126,6,1,A,0,1.4135,M
y119,6,1,B,0,1.4124,M
y054,6,1,B,0,1.2365,M
y003,6,1,B,0,1.4059,M
y126,6,1,B,0,1.3866,M
y119,7,1,A,0,1.4221,M
y054,7,1,A,0,1.321,M
y003,7,1,A,0,1.4365,M
y126,7,1,A,0,1.427,M
y119,7,1,B,0,1.4042,M
y054,7,1,B,0,1.2936,M
y003,7,1,B,0,1.4601,M
y126,7,1,B,0,1.4014,M
y119,8,1,A,0,1.4377,M
y054,8,1,A,0,1.3197,M
y003,8,1,A,0,0.1129,M
y126,8,1,A,0,1.4397,M
y119,8,1,B,0,1.4229,M
y054,8,1,B,0,1.292,M
y003,8,1,B,0,0.1076,M
y126,8,1,B,0,1.4251,M
y119,9,1,A,0,1.4532,M
y054,9,1,A,0,1.3467,M
y003,9,1,A,0,1.4504,M
y126,9,1,A,0,1.4193,M
y119,9,1,B,0,1.4368,M
y054,9,1,B,0,1.3058,M
y003,9,1,B,0,1.4703,M
y126,9,1,B,0,1.4237,M
y119,10,1,A,0,1.4539,M
y054,10,1,A,0,1.3276,M
y003,10,1,A,0,1.4467,M
y126,10,1,A,0,1.4279,M
y119,10,1,B,0,1.4359,M
y054,10,1,B,0,1.2955,M
y003,10,1,B,0,1.4697,M
y126,10,1,B,0,1.4174,M
y119,11,1,A,0,1.4283,M
y054,11,1,A,0,1.3271,M
y003,11,1,A,0,1.2297,M
y126,11,1,A,0,1.4093,M
y119,11,1,B,0,1.4448,M
y054,11,1,B,0,1.2862,M
y003,11,1,B,0,1.1936,M
y126,11,1,B,0,1.4161,M
y119,12,1,A,0,1.4445,M
y054,12,1,A,0,1.3511,M
y003,12,1,A,0,1.4461,M
y126,12,1,A,0,1.4366,M
y119,12,1,B,0,1.451,M
y054,12,1,B,0,1.3198,M
y003,12,1,B,0,1.4585,M
y126,12,1,B,0,1.4448,M
y119,1,1,A,5,1.4038,M
y054,1,1,A,5,1.2468,M
y003,1,1,A,5,0.0975,M
y126,1,1,A,5,0.1134,M
y119,1,1,B,5,1.3688,M
y054,1,1,B,5,1.2062,M
y003,1,1,B,5,0.5055,M
y126,1,1,B,5,0.1235,M
y119,2,1,A,5,1.4056,M
y054,2,1,A,5,1.2102,M
y003,2,1,A,5,1.2088,M
y126,2,1,A,5,1.3453,M
y119,2,1,B,5,1.3542,M
y054,2,1,B,5,1.1679,M
y003,2,1,B,5,1.158,M
y126,2,1,B,5,1.3018,M
y119,3,1,A,5,1.406,M
y054,3,1,A,5,1.2016,M
y003,3,1,A,5,1.3536,M
y126,3,1,A,5,1.3499,M
y119,3,1,B,5,1.3624,M
y054,3,1,B,5,1.1618,M
y003,3,1,B,5,1.311,M
y126,3,1,B,5,1.324,M
y119,4,1,A,5,1.4187,M
y054,4,1,A,5,1.2094,M
y003,4,1,A,5,1.3391,M
y126,4,1,A,5,1.3425,M
y119,4,1,B,5,1.3713,M
y054,4,1,B,5,1.1668,M
y003,4,1,B,5,1.3044,M
y126,4,1,B,5,1.2917,M
y119,5,1,A,5,1.3793,M
y054,5,1,A,5,1.1986,M
y003,5,1,A,5,1.3633,M
y126,5,1,A,5,1.3613,M
y119,5,1,B,5,1.3715,M
y054,5,1,B,5,1.1701,M
y003,5,1,B,5,1.3489,M
y126,5,1,B,5,1.3454,M
y119,6,1,A,5,0.1072,M
y054,6,1,A,5,1.2265,M
y003,6,1,A,5,1.2905,M
y126,6,1,A,5,1.3672,M
y119,6,1,B,5,0.1075,M
y054,6,1,B,5,1.1906,M
y003,6,1,B,5,1.3199,M
y126,6,1,B,5,1.3565,M
y119,7,1,A,5,1.4051,M
y054,7,1,A,5,1.1829,M
y003,7,1,A,5,0.1008,M
y126,7,1,A,5,1.3675,M
y119,7,1,B,5,1.3816,M
y054,7,1,B,5,1.153,M
y003,7,1,B,5,0.1002,M
y126,7,1,B,5,1.3498,M
y119,8,1,A,5,1.4072,M
y054,8,1,A,5,1.2284,M
y003,8,1,A,5,1.1819,M
y126,8,1,A,5,0.1314,M
y119,8,1,B,5,1.335,M
y054,8,1,B,5,1.183,M
y003,8,1,B,5,1.1512,M
y126,8,1,B,5,0.1136,M
y119,9,1,A,5,1.3978,M
y054,9,1,A,5,1.2295,M
y003,9,1,A,5,1.3906,M
y126,9,1,A,5,1.3596,M
y119,9,1,B,5,1.3438,M
y054,9,1,B,5,1.1856,M
y003,9,1,B,5,1.3857,M
y126,9,1,B,5,1.3542,M
y119,10,1,A,5,1.4009,M
y054,10,1,A,5,1.2317,M
y003,10,1,A,5,1.4026,M
y126,10,1,A,5,1.3606,M
y119,10,1,B,5,1.3623,M
y054,10,1,B,5,1.1856,M
y003,10,1,B,5,1.4017,M
y126,10,1,B,5,1.3196,M
y119,11,1,A,5,1.4028,M
y054,11,1,A,5,1.2214,M
y003,11,1,A,5,0.1007,M
y126,11,1,A,5,1.3686,M
y119,11,1,B,5,1.3798,M
y054,11,1,B,5,1.1656,M
y003,11,1,B,5,0.1024,M
y126,11,1,B,5,1.3411,M
y119,12,1,A,5,1.3788,M
y054,12,1,A,5,0.44,M
